R_train,R_test,num_train,num_test,mse_train,mse_test
0.632520860320403,0.576412331589676,1275,425,8.21915594213041e-05,8.92680415163904e-05
0.220749171692954,0.150497755138294,1275,425,0.00191177035423456,0.00188588117920716
0.817642697628161,0.832967949080389,1275,425,0.00331161089668928,0.00318330772314912
0.239887051691714,0.118059664150374,1275,425,0.0306516974746956,0.032441431458281
0.770117196642289,0.76209435498514,1275,425,0.0306609310229807,0.0320408490842803
0.0390385108879677,0.0376807744179526,1275,425,0.124434358794093,0.124443927461651
0.0621419474092098,-0.035575269897936,1275,425,0.000136643123289507,0.000138029154980406
0.688326427739662,0.68475881146195,1275,425,0.00103518242672811,0.000980791946021726
0.818880633252278,0.828587969260742,1275,425,0.00329212472610108,0.00324055327291779
0.720905354497925,0.691153308944717,1275,425,0.0156900615832413,0.0168221186825311
0.778019122666521,0.769132349280475,1275,425,0.0295942175986776,0.0312158516065496
0.0847858056770087,0.0954194743467539,1275,425,0.123096428801644,0.125222403696591
0.0709556251180055,0.0467925215507904,1275,425,0.00013572133951896,0.000138355629255074
0.181877882147144,0.143964535762577,1275,425,0.00194028606377688,0.00182032844592629
0.120874910004539,0.0534373264169747,1275,425,0.0099189491083421,0.0103614275442261
0.718795627226994,0.70364050979182,1275,425,0.0157651505070214,0.0162885122435666
0.0830213078644386,0.00693163323518199,1275,425,0.0748754344022916,0.0760818690714869
0.0634273221504911,-0.00624652677429696,1275,425,0.123522373515095,0.124210770938969
