R_train,R_test,num_train,num_test,mse_train,mse_test
0.946111852552152,0.953153598771901,1275,425,1.43778098916374e-05,1.22296154170487e-05
0.971138290860636,0.958139347983213,1275,425,0.000110777609797838,0.000152174481789086
0.992799401439134,0.989742210283126,1275,425,0.000143300645359502,0.000211182504521701
0.996200739777288,0.991626522269555,1275,425,0.00024576108164127,0.000536712793532778
0.998713481178788,0.997872105969882,1275,425,0.000193761189588531,0.000326778299123991
0.996613712063181,0.995830509515464,1275,425,0.000842586507327218,0.00103833120368538
0.13582296494689,0.149652993180634,1275,425,0.000134287983677598,0.000134639129280804
0.970194653095203,0.966717699316108,1275,425,0.000115606092086328,0.000121229387678605
0.994391195774,0.99156815931883,1275,425,0.000111785922939269,0.000173842088072515
0.996802902442839,0.99439055921079,1275,425,0.000208552576176157,0.000360742510231375
0.996076738695441,0.996166305086428,1275,425,0.000587391648749038,0.000581279039780697
0.997320590924853,0.995426140373632,1275,425,0.000659163000910684,0.00116361168581123
-0.070952421737495,-0.0467888448845981,1275,425,0.000229778053671529,0.000230199366036196
0.497093803915754,0.539425193956177,1275,425,0.00194036630811443,0.00182071373104804
0.961979632675684,0.959597817498875,1275,425,0.00074526627244657,0.00081870813803307
0.99578041812708,0.994307098550686,1275,425,0.000274708009025749,0.000367444540147418
0.998800648831859,0.997732360247728,1275,425,0.0001794986736014,0.000348380877644471
0.000206383032116424,2.87034627075216e-06,1275,425,0.129460863683998,0.129718241341296
