R_train,R_test,num_train,num_test,mse_train,mse_test
0.83586584030821,0.688829782954593,1275,425,4.12741688466567e-05,7.11882578622888e-05
0.911495624749738,0.867168070567345,1275,425,0.000326826520336614,0.000474841014811345
0.986621297311739,0.962176636613242,1275,425,0.000265412122127837,0.000765717971826099
0.986660562114469,0.965333730349212,1275,425,0.000858575128895776,0.00219465364036638
0.990137867788055,0.966663575673191,1275,425,0.00147887267837719,0.00500905424595315
0.995436482882995,0.96755086259487,1275,425,0.00113394906197255,0.00801607631039195
0.796149499707203,0.707280512471201,1275,425,5.00931162148895e-05,6.94980938958613e-05
0.930260193308539,0.874345546970454,1275,425,0.000264823837978757,0.000454417601211063
0.990271637140855,0.966126958837617,1275,425,0.000193489617095489,0.000687258823384417
0.991892491108433,0.963486284792561,1275,425,0.000527556811003611,0.00231724620918792
0.993260544492416,0.957735753366255,1275,425,0.00100725891984571,0.0063563370759707
0.99204207096734,0.967328500038994,1275,425,0.00195222620565327,0.00805956385366672
0.797563447343823,0.657033124488196,1275,425,4.94325686891509e-05,7.99689173918616e-05
0.909188059682606,0.866154763971343,1275,425,0.000336405909814017,0.000469323003324466
0.980889291983986,0.950133539699555,1275,425,0.000378213770172174,0.00100399764493902
0.992013491731673,0.962779025298281,1275,425,0.000518920674535155,0.00239396063215785
0.988728059773343,0.952211993610383,1275,425,0.00167846998969941,0.00714667077743387
0.993829245347335,0.968183952094078,1275,425,0.00152278681665478,0.00779019015184654
