R_train,R_test,num_train,num_test,mse_train,mse_test
0.942852762125054,0.837779026426838,1275,425,1.61963435009699e-05,4.02251489478221e-05
0.987578631509826,0.923034619930774,1275,425,4.86332251152442e-05,0.00027520887341599
0.998405706606627,0.986252596034271,1275,425,3.195653994407e-05,0.000282431763043292
0.99490729164685,0.981023700385858,1275,425,0.000340256177398584,0.00122321589025451
0.996746580238731,0.987429497156228,1275,425,0.000491521833389015,0.00192361974789012
0.998042820112698,0.987528841129616,1275,425,0.000488137846590344,0.00309121169510874
0.999991575312813,0.841594615323719,1275,425,2.36316863170437e-09,4.05436325393701e-05
0.969629973836078,0.92331845519796,1275,425,0.000118546330134115,0.000276527050010088
0.992266103326017,0.977085426425178,1275,425,0.000159153196804989,0.000499246873362326
0.995781049460112,0.984105090735727,1275,425,0.000291990909495501,0.00104694078025329
0.998460007072924,0.98469101055087,1275,425,0.000231327956339281,0.00232292544070082
0.990143420786845,0.98125597200606,1275,425,0.00241877468092451,0.00466160322318548
0.999935821806813,0.863624584107188,1275,425,1.76878092886019e-08,3.52711206970279e-05
0.956153830613483,0.911844560550051,1275,425,0.000168540692959271,0.000312212210236242
0.998167716981902,0.981347866031362,1275,425,3.68080873564912e-05,0.000389058608501149
0.993197147396252,0.975858880210608,1275,425,0.000452446038227025,0.00155030955907365
0.995744811635045,0.983197713612678,1275,425,0.000670796163413613,0.00262593959904681
0.999351571965724,0.98938615458814,1275,425,0.000160991141241804,0.00262992422882053
